Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
195,2008-07-18,28.28830337524414,28.515909919652607,26.483704692641634,27.280328700613175,5983177
196,2008-07-21,29.881553649902344,30.06038815121704,28.30456150887793,28.776032681373913,8754188
197,2008-07-22,31.10087776184082,31.37725635881149,29.62143186659402,29.88155458527761,12631056
198,2008-07-23,33.295654296875,33.94595988981591,31.89749683103535,32.48277230569887,12798869
199,2008-07-24,32.12510681152344,33.913447384943524,30.12541777964175,30.12541777964175,10764301
200,2008-07-25,32.19013595581055,33.230626749067305,30.97081287472875,31.783694928783284,10710381
201,2008-07-28,31.93001937866211,32.82418974778832,31.57235034897804,32.19013990379529,5533881
202,2008-07-29,30.64566421508789,31.702411028875336,30.401799565752327,31.21468173020421,5145929
203,2008-07-30,31.93001937866211,32.19013990379529,30.922044625977165,30.922044625977165,7354746
204,2008-07-31,30.808225631713867,32.48276339734721,30.401784747591638,32.48276339734721,6006517
205,2008-08-01,31.70240592956543,31.832468378007672,29.263759828464313,30.320506472274797,4699412
206,2008-08-04,31.897493362426758,32.482768773446054,31.068353380573036,31.068353380573036,4301346
207,2008-08-05,33.32817077636719,33.57203537604548,31.70240457342837,32.027557372999425,9161115
208,2008-08-06,32.4827766418457,34.51498189106642,32.25517009494975,34.51498189106642,8616591
209,2008-08-07,32.4014892578125,33.133083166180775,31.393514546471547,31.393514546471547,4809365
210,2008-08-08,31.84872817993164,32.64535217496902,31.734923807033258,32.027560472938006,4883824
211,2008-08-11,32.14136505126953,32.61283621827784,31.897500426428977,32.2551694248953,2714705
212,2008-08-12,31.588594436645508,32.51528056335486,31.34472989857284,32.35270199955676,5801276
213,2008-08-13,31.718658447265625,32.02755312486968,30.97080666643044,31.214671233762573,2754609
214,2008-08-14,30.954553604125977,31.86497964078889,30.889521282864237,31.539826854814002,2566362
215,2008-08-18,30.596887588500977,31.53982987612243,30.304250935124298,30.88952424187766,2963058
216,2008-08-19,30.027868270874023,30.726945901707083,29.410076634127957,30.548113627598763,2941144
217,2008-08-20,30.36927604675293,30.613140619358283,30.15792542744498,30.23921361831343,3319410
